repo	mra_file	name	setname	parent	mameversion	rbf	year	manufacturer
Arcade-BoogieWings_MiSTer	The Great Ragtime Show (Japan v1.3, 92.11.26).mra	The Great Ragtime Show (Japan v1.3, 92.11.26)	ragtimea		0264	BoogieWings	1992	Data East Corporation
Arcade-BoogieWings_MiSTer	The Great Ragtime Show (Japan v1.5, 92.12.07).mra	The Great Ragtime Show (Japan v1.5, 92.12.07)	ragtime		0264	BoogieWings	1992	Data East Corporation
Arcade-Bosconian_MiSTer	Bosconian - Star Destroyer (new version).mra	Bosconian - Star Destroyer	bosco	bosco	0220	bosconian	1981	Namco
Arcade-Breakout_MiSTer	Breakout (TTL).mra	Breakout	breakout	breakout		breakout	1976	Atari
Arcade-BubSysROM_MiSTer	Galactic Warriors.mra	Galactic Warriors	gwarrior		0266	BubSysROM	1985	Konami
Arcade-BubSysROM_MiSTer	Gradius.mra	Gradius (Japan, ROM version)	gradius		0266	BubSysROM	1985	Konami
Arcade-BubSysROM_MiSTer	TwinBee.mra	TwinBee (ROM version)	twinbee		0266	BubSysROM	1985	Konami
Arcade-BubSys_MiSTer	TwinBee (Bubble System).mra	TwinBee (Bubble System)	twinbeeb		0266	BubSys	1985	Konami
Arcade-BurgerTime_MiSTer	Burger Time (Set 1).mra	Burger Time	btime	btime	0229	burgertime	1982	Data East
Arcade-BurningRubber_MiSTer	Burnin' Rubber.mra	Burnin' Rubber	brubber	brubber	0220	burningrubber	1982	Data East
Arcade-CanyonBomber_MiSTer	Canyon Bomber.mra	Canyon Bomber	canyon	canyon	0220	canyonbomber	1977	Atari
Arcade-CaveBanpresto_MiSTer	Air Gallet (Europe).mra	Air Gallet (Europe)	agallet		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
Arcade-CaveBanpresto_MiSTer	Air Gallet (Hong Kong).mra	Air Gallet (Hong Kong)	agalleth		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
Arcade-CaveBanpresto_MiSTer	Air Gallet (Korea).mra	Air Gallet (Korea)	agalletk		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
Arcade-CaveBanpresto_MiSTer	Air Gallet (Taiwan).mra	Air Gallet (Taiwan)	agallett		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
Arcade-CaveBanpresto_MiSTer	Air Gallet (USA).mra	Air Gallet (USA)	agalletu		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
Arcade-CaveBanpresto_MiSTer	Air Gallet (older, Europe).mra	Air Gallet (older, Europe)	agalleta		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
Arcade-CaveBanpresto_MiSTer	Air Gallet (older, Hong Kong).mra	Air Gallet (older, Hong Kong)	agalletah		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
Arcade-CaveBanpresto_MiSTer	Air Gallet (older, Korea).mra	Air Gallet (older, Korea)	agalletak		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
Arcade-CaveBanpresto_MiSTer	Air Gallet (older, Taiwan).mra	Air Gallet (older, Taiwan)	agalletat		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
Arcade-CaveBanpresto_MiSTer	Air Gallet (older, USA).mra	Air Gallet (older, USA)	agalletau		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
Arcade-CaveBanpresto_MiSTer	Akuu Gallet (Japan).mra	Akuu Gallet (Japan)	agalletj		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
Arcade-CaveBanpresto_MiSTer	Akuu Gallet (older, Japan).mra	Akuu Gallet (older, Japan)	agalletaj		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
Arcade-CaveBanpresto_MiSTer	Bishoujo Senshi Sailor Moon (Version 95-03-22B, Japan).mra	Bishoujo Senshi Sailor Moon (Version 95/03/22B, Japan)	sailormn		0289	CaveBanpresto	1995	Gazelle (Banpresto license)
Arcade-CaveBanpresto_MiSTer	Hotdog Storm (Korea).mra	Hotdog Storm (Korea)	hotdogst		0226	CaveBanpresto	1996	Marble (Ace International license)
Arcade-CaveBanpresto_MiSTer	Mazinger Z (Japan).mra	Mazinger Z (Japan)	mazingerj		0275	CaveBanpresto	1994	Banpresto / Dynamic Pl. Toei Animation
Arcade-CaveBanpresto_MiSTer	Mazinger Z (World).mra	Mazinger Z (World)	mazinger		0275	CaveBanpresto	1994	Banpresto / Dynamic Pl. Toei Animation
Arcade-CaveBanpresto_MiSTer	Metamoqester (World).mra	Metamoqester (World)	metmqstr		0275	CaveBanpresto	1995	Banpresto / Pandorabox
Arcade-CaveBanpresto_MiSTer	Oni - The Ninja Master (Japan).mra	Oni - The Ninja Master (Japan)	nmaster		0275	CaveBanpresto	1995	Banpresto / Pandorabox
Arcade-Cave_MiSTer	Dangun Feveron (Japan, 98-09-17 VER.).mra	Dangun Feveron (Japan, 98/09/17 VER.)	dfeveron		0226	Cave	1998	CAVE
Arcade-Cave_MiSTer	DoDonPachi (2012-02-12 Arrange Ver. 1.1) (hack).mra	DoDonPachi (2012/02/12 Arrange Ver. 1.1) (hack)	ddonpacha		0226	Cave	2012	Hack (trap15)
Arcade-Cave_MiSTer	DoDonPachi (Japan, 1997 2-5 Master Ver.).mra	DoDonPachi (Japan, 1997 2/ 5 Master Ver.)	ddonpachj		0226	Cave	1997	CAVE
Arcade-Cave_MiSTer	DoDonPachi (World, 1997 2-5 Master Ver.).mra	DoDonPachi (World, 1997 2/ 5 Master Ver.)	ddonpach		0226	Cave	1997	CAVE
Arcade-Cave_MiSTer	DoDonPachi (World, 1997 25 Master Ver.).mra	DoDonPachi (World, 1997 2/5 Master Ver.)	ddonpach		0226	cave	1997	CAVE
Arcade-Cave_MiSTer	DonPachi (Japan).mra	DonPachi (Japan)	donpachij		0226	Cave	1995	CAVE
Arcade-Cave_MiSTer	DonPachi (US).mra	DonPachi (US)	donpachi		0226	Cave	1995	CAVE
Arcade-Cave_MiSTer	DonPachi (US).mra	DonPachi (US)	donpachi		0226	cave	1995	CAVE
Arcade-Cave_MiSTer	ESP Ra.De. (Japan, 1998 4-21 Master Ver.).mra	ESP Ra.De. (Japan, 1998 4/21 Master Ver.)	espradej		0226	Cave	1998	CAVE
Arcade-Cave_MiSTer	ESP Ra.De. (World, 1998 4-22 International Ver.).mra	ESP Ra.De. (World, 1998 4/22 International Ver.)	esprade		0226	Cave	1998	CAVE
Arcade-Cave_MiSTer	ESP Ra.De. (World 1998 422 International Ver).mra	ESP Ra.De. (World, 1998 4/22 International Ver.).	esprade		0226	cave	1998	CAVE
Arcade-Cave_MiSTer	Fever SOS (World, 98-09-25 VER).mra	Fever SOS (World, 98/09/25 VER)	feversos		0226	Cave	1998	CAVE
Arcade-Cave_MiSTer	Fever SOS (World, 980925 VER).mra	Fever SOS (World, 98/09/25 VER)	feversos		0226	cave	1998	CAVE
Arcade-Cave_MiSTer	Gaia Crusaders.mra	Gaia Crusaders	gaia		0226	Cave	1999	CAVE
Arcade-Cave_MiSTer	Gaia Crusaders.mra	Gaia Crusaders	gaia		0226	cave	1999	CAVE
Arcade-Cave_MiSTer	Gogetsuji Legends (US, Ver. 95.06.20).mra	Gogetsuji Legends (US, Ver. 95.06.20)	plegends		0275	Cave	1995	Atlus
Arcade-Cave_MiSTer	Gogetsuji Legends (US, Ver. 95.06.20).mra	Gogetsuji Legends (US, Ver. 95.06.20)	plegends		0275	cave	1995	Atlus
Arcade-Cave_MiSTer	Guwange (Japan, 1999 6-24 Master Ver 16-55).mra	Guwange (Japan, 1999 6/24 Master Ver 16:55)	guwange		0226	Cave	1999	CAVE
Arcade-Cave_MiSTer	Guwange (Japan, 1999 624 Master Ver 1655).mra	Guwange (Japan, 1999 6/24 Master Ver 16:55)	guwange		0226	cave	1999	CAVE
Arcade-Cave_MiSTer	Guwange (Japan, 2000 7-7 Special Ver 13-22).mra	Guwange (Japan, 2000 7/ 7 Special Ver 13:22)	guwanges		0226	Cave	1999	CAVE
Arcade-Cave_MiSTer	Power Instinct 2 (US, Ver. 94.04.08, set 1).mra	Power Instinct 2 (US, Ver. 94.04.08, set 1)	pwrinst2		0275	Cave	1994	Atlus
Arcade-Cave_MiSTer	Power Instinct 2 (US, Ver. 94.04.08, set 1).mra	Power Instinct 2 (US, Ver. 94.04.08, set 1)	pwrinst2		0275	cave	1994	Atlus
Arcade-Cave_MiSTer	Puzzle Uo Poko (Japan).mra	Puzzle Uo Poko (Japan)	uopokoj		0226	Cave	1998	CAVE
Arcade-Cave_MiSTer	Puzzle Uo Poko (World).mra	Puzzle Uo Poko (World)	uopoko		0226	Cave	1998	CAVE
Arcade-Cave_MiSTer	Puzzle Uo Poko (World).mra	Puzzle Uo Poko (World)	uopoko		0226	cave	1998	CAVE
Arcade-Cave_MiSTer	Thunder Heroes (set 1).mra	Thunder Heroes (set 1)	theroes		0226	Cave	2001	CAVE
Arcade-Cave_MiSTer	Thunder Heroes (set 1).mra	Thunder Heroes (set 1)	theroes		0226	cave	2001	CAVE
Arcade-Centipede_MiSTer	Centipede (Rev 4).mra	Centipede	centiped	centiped	0220	centipede	1980	Atari
Arcade-Chameleon_MiSTer	Chameleon.mra	Chameleon	chameleo		0234	Chameleon	1983	Jaleco
Arcade-ChinaGate_MiSTer	China Gate (US).mra	China Gate (US)	chinagat		0264	ChinaGate	1988	Technos Japan (Taito / Romstar license)
Arcade-ChinaGate_MiSTer	China Gate - Sai Yu Gou Ma Roku (JP).mra	Sai Yu Gou Ma Roku (JP)	saiyugou		0264	ChinaGate	1988	Technos Japan
Arcade-CityConnection_MiSTer	City Connection (Cruisin).mra	City Connection (Cruisin)	cruisin		0264	CityConnection	1985	Jaleco (Kitkorp license)
Arcade-CityConnection_MiSTer	City Connection (set 1).mra	City Connection (set 1)	citycon		0264	CityConnection	1985	Jaleco
Arcade-CityConnection_MiSTer	City Connection (set 2).mra	City Connection (set 2)	citycona		0264	CityConnection	1985	Jaleco
Arcade-ComputerSpace_MiSTer	Computer Space.mra	Computer Space			0220	computerspace	1971	Syzygy Engineering
Arcade-CongoBongo_MiSTer	Congo Bongo.mra	CongoBongo	congo		0248	CongoBongo	1983	Sega/Gremlin
Arcade-CongoBongo_MiSTer	Tip Top (3 board stack).mra	Tip Top	tiptop		0248	CongoBongo	1983	Sega/Gremlin
Arcade-CosmicGuerilla_MiSTer	Cosmic Guerilla.mra	Cosmic Guerilla	cosmicg		0219	CosmicGuerilla	1981	Universal
Arcade-Cosmic_MiSTer	Cosmic Alien.mra	Cosmic Alien	cosmica		0219	cosmic	1981	Universal
Arcade-Cosmic_MiSTer	Devil Zone.mra	Devil Zone	devzone		0219	cosmic	1981	Universal
Arcade-Cosmic_MiSTer	Magical Spot.mra	Magical Spot	magspot		0219	cosmic	1981	Universal
Arcade-Cosmic_MiSTer	No Mans Land.mra	No Mans Land	nomnlnd		0219	cosmic	1981	Universal
Arcade-Cosmic_MiSTer	Space Panic.mra	Space Panic	panic		0219	cosmic	1981	Universal
Arcade-CrazyBalloon_MiSTer	Crazy Balloon.mra	Crazy Balloon	crbaloon	crbaloon	0219	crazyballoon	1980	Taito
Arcade-CrazyClimber_MiSTer	Crazy Climber.mra	Crazy Climber	cclimber	cclimber	0216	crazyclimber	1980	Nichibutsu
Arcade-CrazyKong_MiSTer	Crazy Kong (Kyoei).mra	Crazy Kong	ckong	ckong	0224	crazykong	1981	Falcon
Arcade-CrazyKong_MiSTer	Crazy Kong Part II (Set 1).mra	Crazy Kong Part II	ckongpt2	ckongpt3	0224	crazykong	1981	Falcon
Arcade-CrystalCastles_MiSTer	Crystal Castles.mra	Crystal Castles	ccastles		0245	CrystalCastles	1983	Atari
Arcade-DECOCassette_MiSTer	18 Challenge Pro Golf (DECO).mra	18 Challenge Pro Golf	cprogolf18			DECOCassette	1982	Data East
Arcade-DECOCassette_MiSTer	Angler Dangler (DECO).mra	Angler Dangler	cadanglr			DECOCassette	1982	Data East
Arcade-DECOCassette_MiSTer	Astro Fantasia (DECO).mra	Astro Fantasia	castfant			DECOCassette	1981	Data East
Arcade-DECOCassette_MiSTer	Boulder Dash (DECO).mra	Boulder Dash	cbdash			DECOCassette	1985	Data East
Arcade-DECOCassette_MiSTer	Bump 'n' Jump (DECO).mra	Bump n Jump	cbnj			DECOCassette	1982	Data East
Arcade-DECOCassette_MiSTer	Burger Time (DECO).mra	Burger Time	cbtime			DECOCassette	1982	Data East
Arcade-DECOCassette_MiSTer	Burnin Rubber (Japan) (DECO).mra	Burnin Rubber (Japan)	cburnrubj			DECOCassette	1982	Data East
Arcade-DECOCassette_MiSTer	Burnin Rubber (DECO).mra	Burnin Rubber (set 1)	cburnrub			DECOCassette	1982	Data East
Arcade-DECOCassette_MiSTer	Burnin Rubber (set 2) (DECO).mra	Burnin Rubber (set 2)	cburnrub2			DECOCassette	1982	Data East
Arcade-DECOCassette_MiSTer	Cluster Buster (DECO).mra	Cluster Buster	cgraplop			DECOCassette	1983	Data East
Arcade-DECOCassette_MiSTer	DECO Darksoft Multigame (DECO).mra	DECO Multigame (Darksoft v17)	decodark			DECOCassette	2022	bootleg (Darksoft)
Arcade-DECOCassette_MiSTer	DECO Darksoft Multigame (v15) (DECO).mra	DECO Multigame (Darksoft v17)	decodark			DECOCassette	2022	bootleg (Darksoft)
Arcade-DECOCassette_MiSTer	DECO Darksoft Multigame (v16) (DECO).mra	DECO Multigame (Darksoft v17)	decodark			DECOCassette	2022	bootleg (Darksoft)
Arcade-DECOCassette_MiSTer	DS Telejan (DECO).mra	DS Telejan	cdsteljn			DECOCassette	1981	Data East
Arcade-DECOCassette_MiSTer	Disco No.1 (DECO).mra	Disco No.1	cdiscon1			DECOCassette	1982	Data East
Arcade-DECOCassette_MiSTer	Fighting Ice Hockey (DECO).mra	Fighting Ice Hockey	cfghtice			DECOCassette	1984	Data East
Arcade-DECOCassette_MiSTer	Fishing (Japan) (DECO).mra	Fishing (Japan)	cfishing			DECOCassette	1982	Data East
Arcade-DECOCassette_MiSTer	Flash Boy (DECO).mra	Flash Boy	cfboy0a1			DECOCassette	1981	Data East
Arcade-DECOCassette_MiSTer	Flying Ball (DECO).mra	Flying Ball (DECO)	cflyball			DECOCassette	1985	Data East
Arcade-DECOCassette_MiSTer	Graplop (Japan) (DECO).mra	Graplop (Japan)	cgraplopj			DECOCassette	1983	Data East
Arcade-DECOCassette_MiSTer	Graplop (Prototype) (DECO).mra	Graplop (proto)	cgraplop2			DECOCassette	1983	Data East
Arcade-DECOCassette_MiSTer	Hamburger (Japan) (DECO).mra	Hamburger (Japan)	chamburger			DECOCassette	1982	Data East
Arcade-DECOCassette_MiSTer	Highway Chase (DECO).mra	Highway Chase	chwy			DECOCassette	1980	Data East
Arcade-DECOCassette_MiSTer	Peter Pepper's Ice Cream Factory (DECO).mra	Ice Cream Factory (set 1)	cppicf			DECOCassette	1984	Data East
Arcade-DECOCassette_MiSTer	Peter Pepper's Ice Cream Factory (set 2) (DECO).mra	Ice Cream Factory (set 2)	cppicf2			DECOCassette	1984	Data East
Arcade-DECOCassette_MiSTer	Lock'n'Chase (Japan) (DECO).mra	Lock n Chase (Japan)	clocknchj			DECOCassette	1981	Data East
Arcade-DECOCassette_MiSTer	Lock'n'Chase (DECO).mra	Lock'n'Chase	clocknch			DECOCassette	1981	Data East
Arcade-DECOCassette_MiSTer	Lucky Poker (DECO).mra	Lucky Poker	cluckypo			DECOCassette	1981	Data East
Arcade-DECOCassette_MiSTer	Manhattan (Japan) (DECO).mra	Manhattan (Japan)	cmanhat			DECOCassette	1981	Data East
Arcade-DECOCassette_MiSTer	Mission-X (DECO).mra	Mission-X	cmissnx			DECOCassette	1982	Data East
Arcade-DECOCassette_MiSTer	Nebula (DECO).mra	Nebula	cnebula			DECOCassette	1981	Data East
Arcade-DECOCassette_MiSTer	Night Star (DECO).mra	Night Star (set 1)	cnightst			DECOCassette	1983	Data East
Arcade-DECOCassette_MiSTer	Night Star (set 2) (DECO).mra	Night Star (set 2)	cnightst2			DECOCassette	1983	Data East
Arcade-DECOCassette_MiSTer	Ocean to Ocean (Japan) (DECO).mra	Ocean to Ocean (Japan)	cocean1a			DECOCassette	1981	Data East
Arcade-DECOCassette_MiSTer	Ocean to Ocean (DECO).mra	Ocean to Ocean (US)	cocean6b			DECOCassette	1981	Data East
Arcade-DECOCassette_MiSTer	Oozumou - Grand Sumo (DECO).mra	Oozumou - Grand Sumo	coozumou			DECOCassette	1984	Data East
