repo	set_count	rbf_values	top_manufacturer	year_range	url
Arcade-SuprLoco_MiSTer	1	SuprLoco	Sega	1982-1982	https://github.com/MiSTer-devel/Arcade-SuprLoco_MiSTer
Arcade-TIAMC1_MiSTer	6	tiamc1	Terminal	1988-1988	https://github.com/MiSTer-devel/Arcade-TIAMC1_MiSTer
Arcade-TNKIII_MiSTer	2	TNKIII	SNK	1985-1985	https://github.com/MiSTer-devel/Arcade-TNKIII_MiSTer
Arcade-TaitoF2_MiSTer	63	TaitoF2	Taito Corporation	1988-1993	https://github.com/MiSTer-devel/Arcade-TaitoF2_MiSTer
Arcade-TaitoSystemSJ_MiSTer	26	TaitoSJ	Taito Corporation	1981-1984	https://github.com/MiSTer-devel/Arcade-TaitoSystemSJ_MiSTer
Arcade-TankBattalion_MiSTer	1	TankBattalion	Namco	1980-1980	https://github.com/MiSTer-devel/Arcade-TankBattalion_MiSTer
Arcade-Tecmo_MiSTer	4	Tecmo,tecmo	Tecmo	1986-1988	https://github.com/MiSTer-devel/Arcade-Tecmo_MiSTer
Arcade-Tempest_MiSTer	1	Tempest	Atari	1981-1981	https://github.com/MiSTer-devel/Arcade-Tempest_MiSTer
Arcade-TimePilot84_MISTer	1	TimePilot84	Konami	1984-1984	https://github.com/MiSTer-devel/Arcade-TimePilot84_MISTer
Arcade-TimePilot_MiSTer	1	timepilot	Konami	1982-1982	https://github.com/MiSTer-devel/Arcade-TimePilot_MiSTer
Arcade-TraverseUSA_MiSTer	2	traverseusa	Capcom	1983-1983	https://github.com/MiSTer-devel/Arcade-TraverseUSA_MiSTer
Arcade-TrioThePunch_MiSTer	2	TrioThePunch	Data East Corporation	1989-1989	https://github.com/MiSTer-devel/Arcade-TrioThePunch_MiSTer
Arcade-TropicalAngel_MiSTer	2	TropicalAngel	Irem	1983-1983	https://github.com/MiSTer-devel/Arcade-TropicalAngel_MiSTer
Arcade-TurkeyShoot_MiSTer	1	TurkeyShoot	Williams	1984-1984	https://github.com/MiSTer-devel/Arcade-TurkeyShoot_MiSTer
Arcade-Tutankham_MiSTer	4	Tutankham	Konami	1982-2026	https://github.com/MiSTer-devel/Arcade-Tutankham_MiSTer
Arcade-Ultratank_MiSTer	1	ultratank	Atari	1978-1978	https://github.com/MiSTer-devel/Arcade-Ultratank_MiSTer
Arcade-VBall_MiSTer	1	vball	Technos Japan	1988-1988	https://github.com/MiSTer-devel/Arcade-VBall_MiSTer
Arcade-Vastar_MiSTer	5	Vastar	Orca (Sesame Japan license)	1983-1985	https://github.com/MiSTer-devel/Arcade-Vastar_MiSTer
Arcade-XSleena_MiSTer	1	XSleena	Technos	1987-1987	https://github.com/MiSTer-devel/Arcade-XSleena_MiSTer
Arcade-Xevious_MiSTer	2	xevious	Namco	1982-1982	https://github.com/MiSTer-devel/Arcade-Xevious_MiSTer
Arcade-Zaxxon_MiSTer	3	zaxxon	Sega	1982-1982	https://github.com/MiSTer-devel/Arcade-Zaxxon_MiSTer
Arcade-ZigZag_MiSTer	1	zigzag	Bootleg	1982-1982	https://github.com/MiSTer-devel/Arcade-ZigZag_MiSTer
Arcade_SkySmasher_MiSTer	1	SkySmasher	Nihon System	1990-1990	https://github.com/MiSTer-devel/Arcade_SkySmasher_MiSTer
