alt_folder	mra_file	name	setname	parent	mameversion	rbf	year	manufacturer
_Kung-Fu Master	Kung-Fu Master (bootleg set 2).mra	Kung-Fu Master	kungfub2	kungfum	0221	iremm62	1984	Irem
_Kung-Fu Master	Spartan X (Japan).mra	Spartan X	spartanx	spartanx	0221	iremm62	1984	Irem
_Lady Bug	Coccinelle (bootleg of Lady Bug, set 2).mra	Coccinelle	ladybugb2	ladybug	0218	ladybug	1981	Universal
_Lady Bug	Lady Bug (bootleg set 1).mra	Lady Bug	ladybugb	ladybug	0218	ladybug	1981	Universal
_Legionnaire	Legionnaire (Japan).mra	Legionnaire (Japan)	legionnaj		0264	Legionnaire	1992	Tad Corporation
_Legionnaire	Legionnaire (US).mra	Legionnaire (US)	legionnau		0264	Legionnaire	1992	Tad Corporation (Fabtek license)
_Lethal Thunder	Thunder Blaster (Japan).mra	Thunder Blaster (Japan)	thndblst	lethalth	0245	IremM92	1992	Irem
_Liquid Kids	Liquid Kids (US).mra	Liquid Kids (US)	liquidku	liquidk	277	TaitoF2	1990	Taito America Corporation
_Liquid Kids	Mizubaku Daibouken (Japan).mra	Mizubaku Daibouken (Japan)	mizubaku	liquidk	277	TaitoF2	1990	Taito Corporation
_Lode Runner	Lode Runner (set 2).mra	Lode Runner	ldruna	ldrun	0221	iremm62	1984	Irem
_Lode Runner 3	Lode Runner III - Majin no Fukkatsu (Japan).mra	Lode Runner III- Majin no Fukkatsu	ldrun3j	ldrun3	0221	iremm62	1985	Irem
_Lost Tomb	Lost Tomb (hard).mra	Lost Tomb	losttombh	losttomb	0218	scramble	1982	Stern
_Lunar Lander	Lunar Lander (rev 1).mra	Lunar Lander	llander1	llander	0218	lunarlander	1979	Atari
_Mappy	Crackhead - HBMame.mra	Crackhead	crackhea		0217	druaga	1998	Namco
_Mappy	House Party - HBMame.mra	House Party	housepty		0217	druaga	1998	Jerky
_Mappy	Mappy (Japan).mra	Mappy	mappyj	mappy	0218	druaga	1983	Namco
